PooledFundId,AllocationYear,ReportApprovedDate,AllocationTypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
15,2016,2017-02-12,14,1,11,74897.86,4291.0,13725.0,5719.0,4860.0,4291.0,13725.0,5719.0,4860.0
15,2016,2017-03-07,14,1,1,244994.9,3742.0,11973.0,4989.0,4240.0,21200.0,29227.0,,
15,2016,2017-03-13,14,1,1,108397.848,10813.0,11711.0,4357.0,3497.0,10792.0,11660.0,4404.0,3446.0
15,2016,2017-03-13,14,1,11,162596.772,16219.0,17567.0,6535.0,5245.0,16188.0,17490.0,6606.0,5169.0
15,2016,2017-04-05,13,2,11,799999.68,29403.0,30597.0,44100.0,45900.0,97723.0,101685.0,146585.0,152537.0
15,2016,2017-05-25,14,1,11,500000.0,1515.0,1779.0,6167.0,7539.0,1337.0,1570.0,5441.0,6652.0
15,2016,2017-05-28,14,1,1,60000.0,569.0,2655.0,266.0,305.0,569.0,2655.0,266.0,305.0
15,2016,2017-06-05,14,1,1,124224.65,4397.0,5893.0,1329.0,1381.0,1736.0,5843.0,2552.0,2568.0
15,2016,2017-06-07,14,1,9,500011.0,,,2500.0,2500.0,,,2922.0,3041.0
15,2016,2017-06-14,12,1,3,81453.11,,,27000.0,27000.0,,1.0,,
15,2016,2017-07-19,14,1,7,320257.42,1971854.0,2061484.0,2599262.0,2330373.0,2255790.0,2455600.0,2774322.0,2646245.0
15,2016,2017-07-19,14,1,11,688001.3799999999,354107.0,351855.0,435554.0,435945.0,497920.0,478250.0,379883.0,396536.0
15,2016,2017-10-09,13,2,1,199811.59,3362.0,10088.0,,,3662.0,10088.0,,
15,2016,2017-10-09,13,2,4,152540.27,5631.0,9187.0,6816.0,8002.0,5382.0,8728.0,6458.0,7582.0
15,2016,2017-10-09,13,2,10,356001.29,12500.0,13000.0,14500.0,14500.0,13159.0,13141.0,15038.0,15064.0
15,2016,2017-10-09,13,2,11,579679.7,71225.0,70390.0,67647.0,56676.0,72225.0,71350.0,68767.0,57596.0
15,2016,2017-10-11,13,2,11,379998.86,17003.0,21042.0,20286.0,20769.0,17971.0,21466.0,18451.0,18644.0
15,2016,2017-10-12,14,1,1,653498.22,9892.0,13686.0,5037.0,6891.0,10833.0,15811.0,4592.0,6537.0
15,2016,2017-10-12,14,1,7,510287.28,490.0,470.0,530.0,510.0,498.0,468.0,576.0,518.0
15,2016,2017-10-15,13,2,1,523322.02,5290.0,11854.0,7502.0,10958.0,14860.0,22182.0,22015.0,24348.0
15,2016,2017-10-15,14,1,1,394999.99,1780.0,5299.0,2920.0,5501.0,772.0,1874.0,937.0,1930.0
15,2016,2017-10-16,13,2,1,303399.68,14.0,22.0,3074.0,3672.0,60.0,15.0,5723.0,4535.0
15,2016,2017-10-17,13,2,1,463000.53,5545.0,11468.0,3054.0,4246.0,3243.0,6864.0,16389.0,15915.0
15,2016,2017-10-17,13,2,9,1632145.9,,,11029.0,10762.0,,,10945.0,10846.0
15,2016,2017-10-17,14,1,1,394341.63,1113.0,1668.0,2594.0,3890.0,1150.0,1700.0,2600.0,3900.0
15,2016,2017-10-19,12,1,4,80164.4,189000.0,231000.0,126000.0,154000.0,95000.0,115000.0,63000.0,77000.0
15,2016,2017-10-19,12,1,7,85600.0,928320.0,891917.0,1005778.0,1046830.0,309000.0,698000.0,353000.0,340500.0
