PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
15,2016,2017-11-26,14,1,716364.38,7120.0,8751.0,668.0,1001.0,8114.0,9782.0,1364.0,2046.0,,,,,,,,
15,2016,2017-11-27,13,2,1082161.2,248324.0,246919.0,57066.0,55907.0,117046.0,196850.0,103547.0,101355.0,,,,,,,,
15,2016,2017-11-28,12,1,79672.2,,,,,,,,,,,,,,,,
15,2016,2017-11-29,13,2,1076896.39,84680.0,104608.0,61896.0,75881.0,123110.0,149579.0,108203.0,110569.0,,,,,,,,
15,2016,2017-12-04,13,2,229087.0,2000.0,2500.0,2000.0,2000.0,2000.0,2500.0,2000.0,2000.0,,,,,,,,
15,2016,2017-12-04,14,1,218250.15,7193.0,8967.0,6582.0,6498.0,8422.0,10782.0,7703.0,7683.0,,,,,,,,
15,2016,2017-12-07,13,2,466426.48,10171.0,15313.0,14800.0,15260.0,8620.0,12801.0,13164.0,13146.0,,,,,,,,
15,2016,2017-12-10,12,1,499993.45,70700.0,84611.0,97305.0,97384.0,75624.0,90503.0,104081.0,104166.0,,,,,,,,
15,2016,2017-12-10,13,2,602260.2,119680.0,114986.0,134958.0,129666.0,118950.0,116540.0,135781.0,130510.0,,,,,,,,
15,2016,2017-12-10,14,1,126638.14,1489.0,3475.0,1986.0,2978.0,1489.0,3475.0,1986.0,2978.0,,,,,,,,
15,2016,2017-12-11,13,2,1013125.66,16712.0,53179.0,19325.0,22200.0,11132.0,41615.0,14657.0,16730.0,,,,,,,,
15,2016,2017-12-11,14,1,271673.0,1142.0,2456.0,845.0,1267.0,2019.0,5167.0,618.0,814.0,,,,,,,,
15,2016,2017-12-21,13,2,200000.0,2035.0,3682.0,1938.0,2035.0,2035.0,3682.0,1938.0,2035.0,,,,,,,,
15,2016,2017-12-26,13,2,333635.42,64.0,96.0,3081.0,3081.0,87.0,107.0,6149.0,5012.0,,,,,,,,
15,2016,2018-01-03,13,2,1095149.7000000002,76706.0,91353.0,46218.0,48599.0,98471.0,115879.0,57511.0,59997.0,,,,,,,,
15,2016,2018-01-07,13,2,2364237.5300000003,108814.0,154651.0,93737.0,99532.0,124708.0,139395.0,88276.0,103193.0,,,,,,,,
15,2016,2018-01-08,12,1,200000.12,140000.0,120000.0,15000.0,25000.0,120000.0,80000.0,13000.0,18000.0,,,,,,,,
15,2016,2018-01-22,13,2,1150436.22,133275.0,145267.0,90132.0,90598.0,129687.0,143035.0,105774.0,107152.0,,,,,,,,
