PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/78082/85558/2026,2026,Government of Norway,12,17,Norway,NO,5/13/2026 12:00:00 AM,645369.47,4/15/2026 12:00:00 AM,5/22/2026 12:00:00 AM,650530.06,1/1/0001 12:00:00 AM,NOK,9.48,NOK,9.22,6000000,5999838.78,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/78087/85568/2026,2026,Iceland,55,55,Iceland,IS,4/17/2026 12:00:00 AM,122739.55,4/16/2026 12:00:00 AM,5/11/2026 12:00:00 AM,121519.28,1/1/0001 12:00:00 AM,ISK,122.21,ISK,123.44,15000000,14999975.67,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/77584/84468/2025,2026,Government of Canada,119,7,Canada,CA,5/1/2025 12:00:00 AM,108225.11,3/19/2025 12:00:00 AM,7/14/2026 12:00:00 AM,106316.54,1/1/0001 12:00:00 AM,CAD,1.44,CAD,1.41,150000,150012.64,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/78042/85427/2026,2026,Government of Canada,119,7,Canada,CA,3/27/2026 12:00:00 AM,257352.94,3/12/2026 12:00:00 AM,7/14/2026 12:00:00 AM,248071.93,1/1/0001 12:00:00 AM,CAD,1.37,CAD,1.41,350000,350029.5,0
89,Mozambique (RhPF),MOZ89,ERF/M_RHPF_SEA/77980/85221/2026,2026,IRISH AID,23,13,Ireland,IE,2/3/2026 12:00:00 AM,598802.4,1/30/2026 12:00:00 AM,3/5/2026 12:00:00 AM,590318.77,1/1/0001 12:00:00 AM,EUR,0.86,EUR,0.85,500000,500000,0
89,Mozambique (RhPF),MOZ89,ERF/M_RHPF_SEA/77983/85239/2026,2026,Portugal,86,86,Portugal,PT,2/5/2026 12:00:00 AM,359281.44,2/5/2026 12:00:00 AM,2/13/2026 12:00:00 AM,359281.44,1/1/0001 12:00:00 AM,EUR,0.84,EUR,0.83,300000,300000,0
89,Mozambique (RhPF),MOZ89,ERF/M_RHPF_SEA/77124/83795/2024,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,11/1/2024 12:00:00 AM,1560468.14,6/5/2024 12:00:00 AM,1/19/2026 12:00:00 AM,1612903.23,1/1/0001 12:00:00 AM,GBP,0.79,GBP,0.74,1200000,1200000,0
89,Mozambique (RhPF),MOZ89,ERF/M_RHPF_SEA/78165/85693/2026,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,7/29/2026 12:00:00 AM,1673360.11,6/9/2026 12:00:00 AM,8/17/2026 12:00:00 AM,1686909.58,1/1/0001 12:00:00 AM,GBP,0.75,GBP,0.74,1250000,1250000,0
89,Mozambique (RhPF),MOZ89,ERF/M_RHPF_SEA/78129/85647/2026,2026,Kyrgyzstan,1039,208,Kyrgyzstan,KG,5/15/2026 12:00:00 AM,50000,5/15/2026 12:00:00 AM,5/19/2026 12:00:00 AM,50000,1/1/0001 12:00:00 AM,USD,1,USD,1,50000,50000,0
89,Mozambique (RhPF),MOZ89,ERF/M_RHPF_SEA/78075/85531/2026,2026,Government of Cyprus,45,45,Cyprus,CY,4/9/2026 12:00:00 AM,114547.54,4/9/2026 12:00:00 AM,4/10/2026 12:00:00 AM,115000,1/1/0001 12:00:00 AM,EUR,0.87,EUR,0.87,100000,100050,0
